Simbol               | Cod  | CodTS
---------------------|------|------
#include             | 30   | -
<                    | 15   | -
iostream             | 3    | -
>                    | 14   | -
int                  | 4    | -
main                 | 0    | 7
(                    | 23   | -
)                    | 24   | -
{                    | 21   | -
struct               | 6    | -
circle               | 0    | 6
{                    | 21   | -
float                | 5    | -
r                    | 0    | 10
;                    | 25   | -
}                    | 22   | -
c                    | 0    | 5
;                    | 25   | -
struct               | 6    | -
circle               | 0    | 6
b                    | 0    | 4
;                    | 25   | -
float                | 5    | -
pi                   | 0    | 8
;                    | 25   | -
pi_23                | 0    | 9
=                    | 27   | -
3.14                 | 1    | 2
-23                  | 1    | 0
;                    | 25   | -
cin                  | 8    | -
>>                   | 28   | -
c                    | 0    | 5
.                    | 31   | -
r                    | 0    | 10
;                    | 25   | -
cout                 | 9    | -
<<                   | 29   | -
3                    | 1    | 1
*                    | 20   | -
pi                   | 0    | 8
*                    | 20   | -
c                    | 0    | 5
.                    | 31   | -
r                    | 0    | 10
;                    | 25   | -
cout                 | 9    | -
<<                   | 29   | -
pi                   | 0    | 8
*                    | 20   | -
c                    | 0    | 5
.                    | 31   | -
r                    | 0    | 10
*                    | 20   | -
c                    | 0    | 5
.                    | 31   | -
r                    | 0    | 10
;                    | 25   | -
daca                 | 32   | -
(                    | 23   | -
a                    | 0    | 3
>                    | 14   | -
b                    | 0    | 4
)                    | 24   | -
atunci               | 33   | -
a                    | 0    | 3
=                    | 27   | -
b                    | 0    | 4
;                    | 25   | -
sfdaca               | 35   | -
}                    | 22   | -
